family,model,observation_count,mae,rmse,rmsle,wape_percentage
MEATS,weekly_seasonal_naive,3456,57.12071615457535,91.14210806820067,0.2354240765864981,15.116955777418314
MEATS,shifted_28_day_mean,3456,101.6022728405617,173.36061157166245,0.3146261286055676,26.88896724017937
MEATS,lag_16,3456,146.4311823375799,255.495285486701,0.44093232870455507,38.75290537047941
MEATS,lag_364,3456,141.07197782893977,318.030162322254,0.9692659617825558,37.33459581462548
MEATS,zero,3456,377.8585913435177,506.9106460546408,5.668895797502707,100.0
PERSONAL CARE,weekly_seasonal_naive,3456,73.48466435185185,124.73397502470192,0.32208013983393624,23.726943440366156
PERSONAL CARE,shifted_28_day_mean,3456,85.13121071789,131.39672552407887,0.3304938707225517,27.487414408559747
PERSONAL CARE,lag_16,3456,129.94907407407408,208.60076862585214,0.48443292329489324,41.95833726504334
PERSONAL CARE,lag_364,3456,92.24160879629629,149.21000592472194,0.8765601408865096,29.78324054497705
PERSONAL CARE,zero,3456,309.7097800925926,377.547071737174,5.580398631937702,100.0
PET SUPPLIES,shifted_28_day_mean,3456,3.3982411400766406,5.559126616810569,0.5191650690715802,38.744792095885686
PET SUPPLIES,weekly_seasonal_naive,3456,3.6984953703703702,5.678042095391424,0.6486404653184489,42.16811823700184
PET SUPPLIES,lag_16,3456,5.008101851851852,8.739544017260261,0.7195923584741634,57.099498548429665
PET SUPPLIES,lag_364,3456,4.515625,7.437393011991152,0.8744799416910112,51.48456057007126
PET SUPPLIES,zero,3456,8.770833333333334,13.631687961021798,2.062555422874543,100.0
PLAYERS AND ELECTRONICS,shifted_28_day_mean,3456,4.1609829778403595,6.173595141821198,0.5346581391548166,36.37741815642478
PLAYERS AND ELECTRONICS,weekly_seasonal_naive,3456,4.532118055555555,6.375385790795838,0.6465049718168034,39.622068756166044
PLAYERS AND ELECTRONICS,lag_16,3456,6.077256944444445,9.661232308676892,0.7248897597166597,53.13045457994991
PLAYERS AND ELECTRONICS,lag_364,3456,5.936921296296297,9.415683331155131,0.8659276154670569,51.90356935063621
PLAYERS AND ELECTRONICS,zero,3456,11.438368055555555,16.260084121804173,2.326982153371731,100.0
POULTRY,weekly_seasonal_naive,3456,60.29356489496099,116.22955430222915,0.25767418339493003,15.540131102875721
POULTRY,shifted_28_day_mean,3456,100.206405809908,198.22188313484753,0.31488785381087914,25.827311527304992
POULTRY,lag_16,3456,143.68422205359846,321.01841389529335,0.440334640971638,37.033332695082336
POULTRY,lag_364,3456,121.49274023553288,265.4285183842189,0.9491417116999611,31.313675258660894
